batch,track,artists,album,popularity,explicit,uri,query
01_g_eazy_core_english,Him & I,"G-Eazy, Halsey",The Beautiful & Damned (Deluxe Edition),,True,spotify:track:2lNdc3jjPV4aWEfKH0gvH2,"artist:""G-Eazy"""
01_g_eazy_core_english,Him & I (with Halsey),"G-Eazy, Halsey",The Beautiful & Damned,,True,spotify:track:5k38wzpLb15YgncyWdTZE4,"artist:""G-Eazy"""
01_g_eazy_core_english,"Me, Myself & I","G-Eazy, Bebe Rexha",When It's Dark Out (Deluxe Edition),,True,spotify:track:5TL04XPWpL2rTK7HLBWK6N,"artist:""G-Eazy"""
01_g_eazy_core_english,LET THE WORLD BURN (with G-Eazy & Ari Abdul) - Remix,"Chris Grey, G-Eazy, Ari Abdul",LET THE WORLD BURN (with G-Eazy & Ari Abdul) [Remix],,True,spotify:track:5wNDRMkoysXZGiW4ja5Tik,"artist:""G-Eazy"""
01_g_eazy_core_english,You Don't Own Me (feat. G-Eazy),"SAYGRACE, G-Eazy",FMA,,True,spotify:track:6KI1ZpZWYAJLvmVhCJz65G,"artist:""G-Eazy"""
01_g_eazy_core_english,No Limit,"G-Eazy, A$AP Rocky, Cardi B",The Beautiful & Damned,,True,spotify:track:2DQ1ITjI0YoLFzuADN1ZBW,"""G-Eazy"" remix"
01_g_eazy_core_english,Astronaut In The Ocean (Remix) - feat. G-Eazy & DDG,"Masked Wolf, DDG, G-Eazy",Astronaut In The Ocean (Remix) [feat. G-Eazy & DDG],,True,spotify:track:1NawUUW8GmiRbJ9UkaKGY4,"""G-Eazy"" remix"
01_g_eazy_core_english,Tumblr Girls (feat. Christoph Andersson),"G-Eazy, Christoph Andersson",These Things Happen,,True,spotify:track:4Fv6wNYUixnYkj3Dgfrls8,"""G-Eazy"" remix"
01_g_eazy_core_english,Mi Cama - Remix,"KAROL G, J Balvin, Nicky Jam",Mi Cama (Remix),,False,spotify:track:38QmUDpkoYlNbMKvpvAsrE,"""G-Eazy"" remix"
01_g_eazy_core_english,Mi Cama - Remix,"KAROL G, J Balvin, Nicky Jam",OCEAN,,False,spotify:track:5yV2jwp1AZnulVkiWEorq7,"""G-Eazy"" remix"
